run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,log10_fdelta,retention_mean
frc_lora_r8_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r8_lr3e4_c256,False,False,True,3.144157780068952,6.188709017736758,0.0670733675201136,0.0466279772343253,0.0660996859416585,-0.2802545074704233,24.83
frc_lora_r8_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r8_lr3e4_c256,False,False,True,3.18114196006203,6.19304445264518,0.0675879674277212,0.0462499481940166,0.0663119753076067,-0.2869296741443606,25.04
frc_lorawd_wd0_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,42.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,11.913107882677105,25.226048471303603,0.0969687936372904,0.0481139847555745,0.1004875392023356,0.8475726591421122,3.32
frc_lorawd_wd0_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,43.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,12.589599157890357,25.90431304698738,0.0935785958632691,0.0480608123732772,0.0942250664675001,0.7324580949807639,3.12
frc_lorawd_wd0_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,44.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,12.819264341969362,25.72910144867484,0.0930626574264814,0.0481996142717165,0.092988847963386,0.7127254440594999,6.1
frc_lorawd_wd0_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,42.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,3.126171549952398,11.417663106547614,0.070082609148675,0.0487226573299172,0.0696844022817068,-0.5225893120927484,26.52
frc_lorawd_wd0_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,43.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,3.1903902516517424,11.530489788376435,0.0700428544636877,0.0488761210329826,0.0697083078854884,-0.5243288116755703,26.2
frc_lorawd_wd0_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,44.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,3.144592539366612,11.443869848667624,0.0693597954320905,0.0488790685628108,0.0692022063285519,-0.5243288116755703,26.9
frc_lorawd_wd0_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,45.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,3.1853788567104786,11.445505208352513,0.0702334854107026,0.0488796162544316,0.0697741882411487,-0.5249101966109935,26.38
frc_lorawd_wd0_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,42.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,5.0853578125911945,17.304564956693294,0.0680157593267268,0.0470192387128113,0.0664548083271479,-0.2965366581167069,24.36
frc_lorawd_wd0_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,43.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,5.136229549010936,17.315695562376156,0.0684906860165872,0.0467209333281534,0.066573586429451,-0.2903908789273513,24.51
